0,0,0 0,195,0
0,0,0 90,0,0
90,0,0 120,30,0
120,30,0 120,90,0
120,90,0 90,120,0
90,120,0 30,120,0
30,120,0 30,165,0
30,165,0 105,165,0
105,165,0 105,195,0
105,195,0 0,195,0
0,0,30 0,195,30
0,0,30 90,0,30
90,0,30 120,30,30
120,30,30 120,90,30
120,90,30 90,120,30
90,120,30 30,120,30
30,120,30 30,165,30
30,165,30 105,165,30
105,165,30 105,195,30
105,195,30 0,195,30
0,0,30 0,0,0
90,0,30 90,0,0
120,30,30 120,30,0
120,90,30 120,90,0
90,120,30 90,120,0
30,165,30 30,165,0
105,165,30 105,165,0
105,195,30 105,195,0
0,195,0 0,195,30
90,0,0 90,0,30
120,30,0 120,30,30
120,90,0 120,90,30
90,120,0 90,120,30
30,120,0 30,120,30
30,165,0 30,165,30
105,165,0 105,165,30
105,195,0 105,195,30
0,195,0 0,195,30
30,30,0 90,30,0
90,30,0 90,90,0
90,90,0 30,90,0
30,90,0 30,30,0
30,30,30 30,30,0
90,30,30 90,30,0
90,90,30 90,90,0
30,90,30 30,90,0
90,30,0 90,30,30
90,90,0 90,90,30
30,90,0 30,90,30
30,30,0 30,30,30
30,30,30 90,30,30
90,30,30 90,90,30
90,90,30 30,90,30
30,90,30 30,30,30
